_id,a_year,a_ref,a_District,a_type,a_veh,a_cas,a_wkday,a_day,a_month,a_hour,a_min,a_gd1,a_gd2,a_ctype,a_speed,a_jdet,a_jcont,a_pedhum,a_pedphys,a_light,a_weat,a_roadsc,a_speccs,a_chaz,a_scene
2799,2024,2799,NEMD,3,1,1,FRI,16,8,15,35,309493,327785,13,30, , , , , , , , , , 
2800,2024,2800,NEMD,3,2,4,FRI,16,8,23,46,345486,351993,13,30, , , , , , , , , , 
2801,2024,2801,FERO,3,1,1,SAT,17,8,7,50,220345,347575,13,60, , , , , , , , , , 
2802,2024,2802,BELC,3,1,1,WED,14,8,14,5,330752,372546,13,30, , , , , , , , , , 
2803,2024,2803,LISC,2,1,2,SAT,17,8,12,30,335558,369746,13,30,1,1,1,1,1,1,1,1,1,1
2804,2024,2804,ARBC,3,2,3,SAT,17,8,13,46,304660,356657,13,40, , , , , , , , , , 
2805,2024,2805,ANTN,3,2,2,SAT,17,8,14,40,335475,382263,1,30, , , , , , , , , , 
2806,2024,2806,DCST,3,2,1,SAT,17,8,19,18,245490,405345,13,60, , , , , , , , , , 
2807,2024,2807,BELC,3,2,1,SAT,17,8,14,30,336075,371924,13,30, , , , , , , , , , 
2808,2024,2808,ARND,3,2,2,SAT,17,8,21,40,349756,381125,13,30, , , , , , , , , , 
2809,2024,2809,BELC,3,2,1,SAT,17,8,22,25,330907,370391,13,30, , , , , , , , , , 
2810,2024,2810,ARBC,3,1,1,SAT,17,8,16,10,312550,345841,13,30, , , , , , , , , , 
2811,2024,2811,CCGL,2,3,2,SUN,18,8,12,35,290805,437035,13,60,12,7,1,1,1,1,1,1,1,1
2812,2024,2812,CCGL,3,2,3,SUN,18,8,13,12,297626,412401,13,60, , , , , , , , , , 
2813,2024,2813,BELC,3,3,3,SUN,18,8,13,35,337780,376249,11,50, , , , , , , , , , 
2814,2024,2814,LISC,3,2,3,SUN,18,8,12,0,327569,367899,13,50, , , , , , , , , , 
2815,2024,2815,BELC,2,1,1,SAT,17,8,15,15,332617,372134,13,30,6,3,3,11,1,1,1,1,1,2
2816,2024,2816,CCGL,3,2,1,SUN,18,8,19,23,285657,441079,13,30, , , , , , , , , , 
2817,2024,2817,FERO,2,2,3,SUN,18,8,20,0,219388,358466,13,40,10,7,1,1,2,1,1,1,1,1
2818,2024,2818,MEAN,3,2,3,SUN,18,8,20,10,315242,416337,13,60, , , , , , , , , , 
2819,2024,2819,MEAN,3,1,3,SUN,18,8,21,10,338667,385736,11,50, , , , , , , , , , 
2820,2024,2820,ANTN,3,2,2,SUN,18,8,13,15,299416,391249,1,60, , , , , , , , , , 
2821,2024,2821,NEMD,3,2,3,SUN,18,8,21,0,354177,338415,13,60, , , , , , , , , , 
2822,2024,2822,ARBC,3,2,1,MON,19,8,13,6,312389,345451,13,30, , , , , , , , , , 
2823,2024,2823,ARND,3,2,1,MON,19,8,13,15,342976,369315,13,60, , , , , , , , , , 
2824,2024,2824,BELC,2,2,2,MON,19,8,13,36,334751,374489,13,30,8,3,1,11,1,2,2,1,1,1
2825,2024,2825,ANTN,3,2,1,MON,19,8,14,1,314624,382798,13,60, , , , , , , , , , 
2826,2024,2826,MEAN,3,2,1,MON,19,8,17,0,305012,411005,13,60, , , , , , , , , , 
2827,2024,2827,LISC,3,2,4,MON,19,8,17,21,329056,366885,13,60, , , , , , , , , , 
2828,2024,2828,ANTN,3,2,1,MON,19,8,17,38,302794,389736,13,60, , , , , , , , , , 
2829,2024,2829,ARBC,3,2,1,MON,19,8,17,42,311811,343738,13,40, , , , , , , , , , 
2830,2024,2830,LISC,3,2,1,MON,19,8,17,5,325678,362162,11,40, , , , , , , , , , 
2831,2024,2831,NEMD,2,3,2,MON,19,8,22,20,341673,357546,13,60,1,1,1,1,6,1,2,1,1,1
2832,2024,2832,BELC,3,1,1,TUE,20,8,10,15,335794,374338,13,30, , , , , , , , , , 
2833,2024,2833,BELC,3,2,2,TUE,20,8,8,0,329129,369521,11,40, , , , , , , , , , 
2834,2024,2834,ANTN,3,3,3,TUE,20,8,12,25,316717,385537,13,40, , , , , , , , , , 
2835,2024,2835,ARND,3,3,1,TUE,20,8,13,12,356456,368615,13,60, , , , , , , , , , 
2836,2024,2836,ARND,3,2,2,TUE,20,8,15,38,348871,373235,13,30, , , , , , , , , , 
2837,2024,2837,BELC,2,2,2,TUE,20,8,16,51,334390,372552,13,30,12,7,1,1,2,1,1,1,1,1
2838,2024,2838,ARBC,3,2,1,TUE,20,8,17,6,308203,358156,13,30, , , , , , , , , , 
2839,2024,2839,BELC,3,2,1,TUE,20,8,17,15,337731,373989,13,30, , , , , , , , , , 
2840,2024,2840,MIDU,3,2,2,TUE,20,8,17,50,262825,357101,13,60, , , , , , , , , , 
2841,2024,2841,ARBC,3,2,1,TUE,20,8,18,25,319473,347717,13,60, , , , , , , , , , 
2842,2024,2842,NEMD,3,1,1,TUE,20,8,12,15,337226,331225,13,40, , , , , , , , , , 
2843,2024,2843,CCGL,2,3,6,TUE,20,8,20,59,286170,432007,13,50,1,1,1,1,4,2,2,1,1,1
2844,2024,2844,BELC,3,2,3,TUE,20,8,15,15,332217,374118,13,30, , , , , , , , , , 
2845,2024,2845,BELC,3,2,3,WED,21,8,10,56,334001,375111,2,30, , , , , , , , , , 
2846,2024,2846,ARBC,3,2,1,WED,21,8,9,17,306755,355414,13,60, , , , , , , , , , 
2847,2024,2847,BELC,3,2,1,WED,21,8,11,30,332817,375611,13,30, , , , , , , , , , 
2848,2024,2848,BELC,3,2,1,WED,21,8,12,13,331395,370718,13,30, , , , , , , , , , 
2849,2024,2849,ARBC,3,3,1,WED,21,8,12,30,306115,349301,13,60, , , , , , , , , , 
2850,2024,2850,BELC,3,3,4,WED,21,8,13,30,334364,375913,12,70, , , , , , , , , , 
2851,2024,2851,ARBC,2,6,3,WED,21,8,13,49,300994,349930,13,60,10,7,1,1,1,2,2,1,1,1
2852,2024,2852,ARBC,3,2,1,WED,21,8,14,52,296353,338012,13,60, , , , , , , , , , 
2853,2024,2853,ARND,3,3,2,WED,21,8,15,13,345682,375242,13,60, , , , , , , , , , 
2854,2024,2854,BELC,3,1,2,WED,21,8,15,50,333911,368419,11,40, , , , , , , , , , 
2855,2024,2855,MEAN,3,1,1,WED,21,8,16,0,344540,395052,13,60, , , , , , , , , , 
2856,2024,2856,LISC,2,3,5,WED,21,8,17,0,329956,361751,13,60,12,7,1,1,1,1,2,1,1,1
2857,2024,2857,MIDU,3,3,3,WED,21,8,17,36,279548,364296,13,60, , , , , , , , , , 
2858,2024,2858,NEMD,3,2,2,WED,21,8,17,55,318347,318831,13,30, , , , , , , , , , 
2859,2024,2859,MIDU,3,2,1,WED,21,8,18,0,265650,351898,13,60, , , , , , , , , , 
2860,2024,2860,LISC,3,2,1,WED,21,8,18,40,332106,359264,13,60, , , , , , , , , , 
2861,2024,2861,NEMD,2,2,5,WED,21,8,19,45,347055,347385,13,60,12,7,1,1,1,2,2,1,1,1
2862,2024,2862,BELC,3,1,1,WED,21,8,17,30,329419,368953,13,30, , , , , , , , , , 
