a_year,a_ref,a_District,a_type,a_veh,a_cas,a_wkday,a_day,a_month,a_hour,a_min,a_gd1,a_gd2,a_ctype,a_speed,a_jdet,a_jcont,a_pedhum,a_pedphys,a_light,a_weat,a_roadsc,a_speccs,a_chaz,a_scene
2025,1622,MEAN,3,2,1,THU,8,5,6,5,309977,400376,1,60, , , , , , , , , , 
2025,1623,ARBC,2,1,1,THU,8,5,7,12,287923,345106,13,30,12,3,1,1,1,1,2,1,1,1
2025,1624,BELC,3,1,1,THU,8,5,8,5,334801,374407,2,30, , , , , , , , , , 
2025,1625,DCST,3,1,1,THU,8,5,8,0,243541,420153,13,30, , , , , , , , , , 
2025,1626,BELC,3,1,1,THU,8,5,10,6,331888,373518,13,30, , , , , , , , , , 
2025,1627,CCGL,2,2,2,THU,8,5,10,40,272226,435485,13,60,1,1,1,1,2,1,1,1,1,1
2025,1628,LISC,3,2,2,THU,8,5,10,52,327657,363811,13,30, , , , , , , , , , 
2025,1629,ARBC,3,2,1,THU,8,5,8,35,302578,355582,13,30, , , , , , , , , , 
2025,1630,LISC,3,2,3,THU,8,5,11,56,331189,361726,13,60, , , , , , , , , , 
2025,1631,BELC,3,2,2,WED,7,5,13,45,328194,370206,13,30, , , , , , , , , , 
2025,1632,ARBC,3,2,1,THU,8,5,12,39,287284,344649,13,30, , , , , , , , , , 
2025,1633,DCST,3,2,1,THU,8,5,14,16,246597,418487,1,50, , , , , , , , , , 
2025,1634,CCGL,3,2,1,THU,8,5,15,30,284595,435407,13,60, , , , , , , , , , 
2025,1635,BELC,3,3,1,THU,8,5,17,5,330503,371548,13,30, , , , , , , , , , 
2025,1636,DCST,2,1,5,THU,8,5,17,16,234545,397631,13,30,12,3,1,11,3,1,1,1,1,1
2025,1637,BELC,3,2,2,THU,8,5,21,58,329685,371229,13,30, , , , , , , , , , 
2025,1638,CCGL,3,2,1,THU,8,5,15,30,312073,441262,13,30, , , , , , , , , , 
2025,1639,ANTN,3,2,1,THU,8,5,23,35,331734,382278,13,30, , , , , , , , , , 
2025,1640,MEAN,2,1,1,FRI,9,5,1,5,310964,402806,13,30,12,7,1,1,7,10,10,1,1,2
2025,1641,ARND,2,1,1,FRI,9,5,2,5,353692,380089,13,60,1,1,1,1,4,1,1,1,1,1
2025,1642,BELC,3,3,3,FRI,9,5,7,4,334019,376007,13,30, , , , , , , , , , 
2025,1643,CCGL,3,2,1,FRI,9,5,8,31,268522,425063,13,60, , , , , , , , , , 
2025,1644,MIDU,3,2,1,FRI,9,5,13,3,272191,366060,13,60, , , , , , , , , , 
2025,1645,ARND,2,2,1,FRI,9,5,13,24,356497,373405,13,60,6,4,1,1,2,9,1,1,1,1
2025,1646,NEMD,3,1,1,FRI,9,5,12,50,308468,325956,13,30, , , , , , , , , , 
2025,1647,MIDU,3,3,4,FRI,9,5,15,25,284473,398939,13,60, , , , , , , , , , 
2025,1648,BELC,3,2,1,FRI,9,5,9,0,334183,375162,13,30, , , , , , , , , , 
2025,1649,DCST,3,2,1,FRI,9,5,16,57,245071,417583,13,30, , , , , , , , , , 
2025,1650,ARBC,3,3,4,FRI,9,5,17,22,284110,352297,13,30, , , , , , , , , , 
2025,1651,BELC,3,2,1,WED,7,5,14,30,332638,373459,11,50, , , , , , , , , , 
2025,1652,MIDU,3,2,2,FRI,9,5,21,18,262884,356717,11,70, , , , , , , , , , 
2025,1653,NEMD,3,2,2,FRI,9,5,22,18,289979,314308,13,60, , , , , , , , , , 
2025,1654,FERO,3,2,1,SAT,10,5,0,41,232358,377463,13,60, , , , , , , , , , 
2025,1655,LISC,3,2,1,SAT,10,5,2,12,321984,372567,13,60, , , , , , , , , , 
2025,1656,CCGL,2,2,1,SAT,10,5,8,25,282455,438438,13,30,12,7,1,1,2,1,1,1,1,1
2025,1657,DCST,2,2,1,SAT,10,5,9,17,242933,421245,1,50,2,7,1,9,2,1,1,1,1,1
2025,1658,DCST,3,3,4,SAT,10,5,12,16,233447,398283,13,40, , , , , , , , , , 
2025,1659,MEAN,3,2,1,SAT,10,5,10,45,341335,387302,13,40, , , , , , , , , , 
2025,1660,FERO,3,1,1,SAT,10,5,14,3,245276,372069,13,30, , , , , , , , , , 
2025,1661,NEMD,3,2,1,SAT,10,5,16,54,340644,342893,13,60, , , , , , , , , , 
2025,1662,ARBC,3,2,1,SAT,10,5,17,0,319946,333693,13,30, , , , , , , , , , 
2025,1663,BELC,3,2,2,SAT,10,5,13,0,331421,369270,13,30, , , , , , , , , , 
2025,1664,MIDU,3,2,2,SAT,10,5,21,50,292009,374526,13,60, , , , , , , , , , 
2025,1665,ARBC,3,2,1,SAT,10,5,22,10,300439,353349,13,30, , , , , , , , , , 
2025,1666,ARND,3,1,1,SUN,11,5,8,8,351217,371931,13,60, , , , , , , , , , 
2025,1667,BELC,3,2,2,SUN,11,5,9,7,337563,372052,11,40, , , , , , , , , , 
2025,1668,BELC,3,1,1,SUN,11,5,13,15,328833,370745,13,30, , , , , , , , , , 
2025,1669,NEMD,3,2,2,SUN,11,5,13,15,309817,324392,13,30, , , , , , , , , , 
2025,1670,FERO,2,2,1,SUN,11,5,13,15,227912,340913,13,30,12,7,1,1,1,1,1,1,1,1
2025,1671,MIDU,2,2,1,SUN,11,5,13,17,285025,370739,13,30,12,7,1,1,2,1,1,1,1,1
2025,1672,ARBC,3,2,2,SUN,11,5,14,0,312761,346202,13,30, , , , , , , , , , 
2025,1673,MEAN,2,2,1,SUN,11,5,14,23,338708,402235,13,40,12,7,1,1,2,9,1,1,1,1
2025,1674,BELC,3,2,2,SUN,11,5,14,50,331647,375270,13,30, , , , , , , , , , 
2025,1675,ARND,3,1,1,SUN,11,5,16,6,348944,373921,13,30, , , , , , , , , , 
2025,1676,BELC,3,2,1,SUN,11,5,16,30,334138,373408,13,30, , , , , , , , , , 
2025,1677,BELC,3,2,1,SUN,11,5,10,30,337845,375135,13,30, , , , , , , , , , 
2025,1678,ARND,3,4,5,SUN,11,5,17,59,351033,380381,13,30, , , , , , , , , , 
2025,1679,MIDU,3,2,1,SUN,11,5,19,58,285867,388804,13,60, , , , , , , , , , 
2025,1680,NEMD,3,2,2,SUN,11,5,21,24,307093,320171,13,60, , , , , , , , , , 
2025,1681,DCST,3,1,1,MON,12,5,9,0,233954,396282,13,30, , , , , , , , , , 
2025,1682,ANTN,2,1,1,MON,12,5,11,22,325758,393551,13,60,1,1,1,1,2,1,1,1,1,1
2025,1683,DCST,3,2,4,MON,12,5,11,28,245978,414788,13,60, , , , , , , , , , 
2025,1684,ARBC,3,2,2,MON,12,5,13,30,285463,336212,13,60, , , , , , , , , , 
2025,1685,MIDU,3,2,3,MON,12,5,15,0,280510,376248,13,40, , , , , , , , , , 
2025,1686,ARBC,3,2,1,MON,12,5,16,7,307902,358704,13,30, , , , , , , , , , 
2025,1687,ANTN,3,5,1,MON,12,5,16,57,331972,381770,12,70, , , , , , , , , , 
2025,1688,ANTN,3,4,2,MON,12,5,18,15,329168,390969,13,30, , , , , , , , , , 
2025,1689,LISC,3,2,1,MON,12,5,18,24,324665,359947,1,70, , , , , , , , , , 
2025,1690,LISC,3,3,2,MON,12,5,19,30,325615,369670,13,60, , , , , , , , , , 
2025,1691,BELC,3,2,1,MON,12,5,19,20,329658,369686,13,30, , , , , , , , , , 
2025,1692,LISC,3,3,1,TUE,13,5,8,30,329961,361745,13,60, , , , , , , , , , 
2025,1693,ANTN,2,1,1,TUE,13,5,9,4,332240,384309,13,30,2,7,1,2,2,1,1,1,1,1
2025,1694,NEMD,3,2,1,TUE,13,5,10,50,296346,318030,13,60, , , , , , , , , , 
2025,1695,FERO,3,2,2,MON,12,5,0,1,248232,331967,13,60, , , , , , , , , , 
2025,1696,NEMD,3,2,1,TUE,13,5,12,0,313962,319450,13,30, , , , , , , , , , 
2025,1697,CCGL,3,2,1,TUE,13,5,11,30,284144,431028,13,30, , , , , , , , , , 
2025,1698,ARBC,3,3,2,TUE,13,5,13,47,299807,352559,13,60, , , , , , , , , , 
2025,1699,FERO,2,1,1,TUE,13,5,14,8,221010,366137,13,60,1,1,1,1,2,1,1,1,1,1
2025,1700,BELC,3,2,1,TUE,13,5,12,0,331745,373431,13,30, , , , , , , , , , 
2025,1701,MEAN,3,2,1,TUE,13,5,15,0,339195,386271,11,50, , , , , , , , , , 
2025,1702,ANTN,3,2,2,MON,12,5,15,0,331334,381952,13,30, , , , , , , , , , 
2025,1703,MEAN,3,2,2,TUE,13,5,15,44,309952,402956,13,30, , , , , , , , , , 
2025,1704,ARND,3,1,1,TUE,13,5,16,13,348388,372165,13,30, , , , , , , , , , 
2025,1705,MEAN,3,2,1,TUE,13,5,17,4,340330,402936,13,30, , , , , , , , , , 
2025,1706,CCGL,3,2,1,TUE,13,5,16,30,284328,431158,11,40, , , , , , , , , , 
2025,1707,BELC,3,2,1,TUE,13,5,18,5,334278,372896,13,30, , , , , , , , , , 
2025,1708,BELC,3,1,1,TUE,13,5,15,50,333339,373158,13,30, , , , , , , , , , 
2025,1709,BELC,3,2,4,TUE,13,5,19,0,337628,373991,13,30, , , , , , , , , , 
2025,1710,ANTN,3,3,1,TUE,13,5,19,14,335149,381467,13,40, , , , , , , , , , 
2025,1711,ARBC,3,2,1,TUE,13,5,19,36,306912,357520,13,30, , , , , , , , , , 
2025,1712,BELC,3,2,3,TUE,13,5,21,0,329993,373533,13,30, , , , , , , , , , 
2025,1713,ARBC,2,1,1,TUE,13,5,23,35,312528,352231,13,60,1,1,1,1,6,1,1,1,1,1
2025,1714,CCGL,3,1,1,WED,14,5,10,3,274644,406822,13,60, , , , , , , , , , 
2025,1715,BELC,3,2,1,WED,14,5,8,50,327580,368457,13,30, , , , , , , , , , 
2025,1716,ANTN,3,1,1,WED,14,5,11,32,316894,386331,13,30, , , , , , , , , , 
2025,1717,BELC,2,2,1,THU,1,5,9,0,334414,378276,12,70,1,1,1,1,3,10,1,1,1,2
2025,1718,CCGL,3,2,2,WED,14,5,14,51,286759,436279,13,60, , , , , , , , , , 
2025,1719,ARBC,3,2,1,WED,14,5,15,35,308202,358158,13,30, , , , , , , , , , 
2025,1720,CCGL,2,2,1,WED,14,5,16,0,301859,429145,13,60,6,7,1,1,2,1,1,1,1,1
2025,1721,CCGL,3,2,2,WED,14,5,17,37,297771,411861,13,60, , , , , , , , , , 
2025,1722,DCST,3,1,1,WED,14,5,18,46,241701,420466,13,30, , , , , , , , , , 
2025,1723,ARBC,3,2,1,WED,14,5,19,18,289562,333418,13,60, , , , , , , , , , 
2025,1724,ARBC,2,2,3,WED,14,5,23,3,287124,354152,13,60,1,1,1,1,7,1,1,1,1,1
2025,1725,MIDU,3,2,1,THU,15,5,2,8,293146,392804,13,30, , , , , , , , , , 
2025,1726,ARBC,3,2,2,THU,15,5,6,7,309980,349182,13,40, , , , , , , , , , 
2025,1727,LISC,3,3,2,THU,15,5,6,47,329291,365919,12,70, , , , , , , , , , 
2025,1728,DCST,3,2,2,THU,15,5,7,49,243673,416316,13,30, , , , , , , , , , 
2025,1729,BELC,3,2,2,THU,15,5,8,25,334297,374811,12,50, , , , , , , , , , 
2025,1730,BELC,3,2,1,THU,15,5,8,41,333447,374313,13,30, , , , , , , , , , 
2025,1731,CCGL,3,2,3,WED,14,5,15,15,277256,434856,13,60, , , , , , , , , , 
2025,1732,ARND,3,2,1,THU,15,5,9,51,350718,379280,13,30, , , , , , , , , , 
2025,1733,ARBC,3,2,1,THU,15,5,11,20,287649,345457,1,30, , , , , , , , , , 
2025,1734,ARBC,3,2,1,THU,1,5,8,45,311890,345712,13,30, , , , , , , , , , 
2025,1735,BELC,3,2,1,THU,15,5,12,5,333334,375220,13,30, , , , , , , , , , 
2025,1736,DCST,2,1,1,MON,12,5,17,20,244723,416572,13,30,10,7,1,11,2,1,1,1,1,2
2025,1737,BELC,3,2,3,THU,15,5,12,15,333426,375856,13,30, , , , , , , , , , 
2025,1738,ARND,3,1,1,THU,15,5,13,38,340545,379422,13,30, , , , , , , , , , 
2025,1739,LISC,2,2,1,THU,15,5,15,10,318037,374264,13,60,1,1,1,1,2,1,1,5,1,1
2025,1740,LISC,3,2,1,TUE,13,5,18,20,325676,362160,11,40, , , , , , , , , , 
2025,1741,BELC,3,2,2,THU,15,5,15,27,330934,374627,13,30, , , , , , , , , , 
2025,1742,BELC,3,2,7,THU,15,5,11,45,335330,373905,11,30, , , , , , , , , , 
2025,1743,BELC,3,4,1,THU,15,5,16,52,333737,380302,12,70, , , , , , , , , , 
2025,1744,BELC,3,3,3,THU,15,5,17,47,335500,374735,11,50, , , , , , , , , , 
2025,1745,NEMD,3,2,1,THU,15,5,16,30,310359,328427,13,60, , , , , , , , , , 
2025,1746,ANTN,3,2,1,THU,15,5,18,43,335046,381202,13,30, , , , , , , , , , 
2025,1747,NEMD,2,2,1,THU,15,5,20,2,303278,326516,13,60,10,7,1,1,2,1,1,1,1,1
2025,1748,ARBC,3,2,1,THU,15,5,23,27,301400,353551,13,30, , , , , , , , , , 
2025,1749,LISC,3,2,2,THU,15,5,19,30,317301,371792,13,60, , , , , , , , , , 
2025,1750,CCGL,3,1,1,SAT,10,5,15,50,312078,441252,13,30, , , , , , , , , , 
2025,1751,ARBC,3,1,1,FRI,16,5,5,29,289947,360240,12,70, , , , , , , , , , 
2025,1752,ANTN,3,2,1,FRI,16,5,8,0,317005,387110,13,30, , , , , , , , , , 
2025,1753,BELC,3,2,2,FRI,16,5,8,0,331966,373058,13,30, , , , , , , , , , 
2025,1754,BELC,3,1,1,FRI,16,5,7,10,332220,372652,13,30, , , , , , , , , , 
2025,1755,ARND,3,2,2,THU,15,5,17,30,354717,375957,13,60, , , , , , , , , , 
2025,1756,NEMD,3,2,4,FRI,16,5,9,40,336073,333734,13,60, , , , , , , , , , 
2025,1757,BELC,3,2,2,FRI,16,5,10,43,329816,370063,12,70, , , , , , , , , , 
2025,1758,LISC,2,3,1,FRI,16,5,13,21,321988,362898,13,60,6,4,1,1,1,8,1,1,1,1
2025,1759,ARBC,1,2,1,FRI,16,5,14,18,282348,340363,13,60,1,1,1,1,2,1,1,1,1,1
2025,1760,BELC,3,2,2,FRI,16,5,16,0,332312,374044,13,30, , , , , , , , , , 
